source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-24 17:59:57,"There are doubts about the feasibility of the Oct 10-11 event, given that it is scheduled to take place just 3 weeks after the now-cancelled Singapore Grand Prix.",1,3,,,,,,,10157151957847115,/story.php?story_fbid=10157151957847115&id=129011692114
The Straits Times,,2020-06-24 17:45:29,"""I was speaking with the organisers and saying, what are the chances of someone from Singapore being part of the missions to the moon and the missions to Mars? I think the chances are very, very good,"" says Dr Cady Coleman.",27,27,,,,,,,10157151937092115,/story.php?story_fbid=10157151937092115&id=129011692114
The Straits Times,,2020-06-24 17:16:22,Passengers must have booked the tickets on or before March 15 in order to qualify.,99,94,2,1,3,,,,10157151899927115,/story.php?story_fbid=10157151899927115&id=129011692114
The Straits Times,,2020-06-24 16:58:05,"The affected workers make up about 5% of the total workforce in Singapore, excluding maids.",143,121,1,,5,18,,,10157151872417115,/story.php?story_fbid=10157151872417115&id=129011692114
The Straits Times,,2020-06-24 16:31:14,"Many found it difficult to secure a booking. Muis acknowledged that users had ""difficulty"" in accessing the system, which was meant to ensure safe distancing.",27,23,3,,,1,,,10157151844692115,/story.php?story_fbid=10157151844692115&id=129011692114
The Straits Times,,2020-06-24 16:15:00,Keep this guide handy if you’re planning your holidays next year. https://str.sg/JWVh,347,321,6,10,2,,,,10157151755097115,/story.php?story_fbid=10157151755097115&id=129011692114
The Straits Times,,2020-06-24 16:00:48,The party may face a three-way fight in Pasir Ris-Punggol GRC where the Singapore Democratic Alliance has said it will contest.,89,59,24,1,1,,1,,10157151814127115,/story.php?story_fbid=10157151814127115&id=129011692114
The Straits Times,,2020-06-24 15:47:19,"Besides familiar WP members such as Sylvia Lim, Pritam Singh and Lee Li Lian, the video also featured new faces such as lawyer Fadli Fawzi and former NSP candidate Nicole Seah.",393,351,14,21,5,1,,,10157151798862115,/story.php?story_fbid=10157151798862115&id=129011692114
The Straits Times,,2020-06-24 15:30:10,"The broadcast for an SMC will last for 3 minutes, while that for a GRC will be 12 or 15 minutes depending on whether it is a 4- or 5-member GRC.",123,117,1,,3,1,1,,10157151776827115,/story.php?story_fbid=10157151776827115&id=129011692114
The Straits Times,,2020-06-24 15:16:32,"🔴 JUST IN: Singapore confirms 191 new Covid-19 cases in S'pore. There are 7 cases in the community, including 2 Singaporeans or PRs.",1.1K,879,12,2,76,151,6,,10157151760787115,/story.php?story_fbid=10157151760787115&id=129011692114
The Straits Times,,2020-06-24 15:03:59,"The ELD said candidates cannot remove their masks for taking photos, or solely for talking to others.",220,196,19,3,2,,,,10157151747157115,/story.php?story_fbid=10157151747157115&id=129011692114
The Straits Times,,2020-06-24 14:50:35,Monkeys in Lopburi are going bananas as tourists - and free food - disappeared because of the Covid-19 outbreak.,65,52,7,,4,2,,,10157151730972115,/story.php?story_fbid=10157151730972115&id=129011692114
The Straits Times,,2020-06-24 14:43:39,"The haul from a 2-day drug bust was enough to feed the addiction of 1,390 abusers for a week.",205,150,4,1,38,8,4,,10157151723322115,/story.php?story_fbid=10157151723322115&id=129011692114
The Straits Times,,2020-06-24 14:21:10,"The contactless kiosks have already been deployed at 5 locations, including Braddell and Tiong Bahru MRT stations as well Bukit Panjang and Serangoon bus interchanges.",257,235,8,3,10,,1,,10157151689902115,/story.php?story_fbid=10157151689902115&id=129011692114
The Straits Times,,2020-06-24 14:04:48,Should HDB flats come with a balcony for gardening? Why or why not? Tell us what you think below.,861,774,22,55,6,,2,,10157151667667115,/story.php?story_fbid=10157151667667115&id=129011692114
The Straits Times,,2020-06-24 13:42:26,The Singapore Standards Council will work on guidelines for companies this year in areas like business continuity and supply chains.,93,88,,2,2,1,,,10157151640142115,/story.php?story_fbid=10157151640142115&id=129011692114
The Straits Times,,2020-06-24 13:31:07,A court inquiry found Mr Dyson Heydon had harassed 6 former staff members who were Judges' Associates in Australia. He has reportedly denied the harassment claims.,53,34,7,1,9,,2,,10157151624667115,/story.php?story_fbid=10157151624667115&id=129011692114
The Straits Times,,2020-06-24 13:15:52,"The task at hand is to tell people honestly what the issues facing Singapore are, and propose the best solutions, said Mr Shanmugam.",238,182,37,8,2,,8,,10157151598217115,/story.php?story_fbid=10157151598217115&id=129011692114
The Straits Times,,2020-06-24 13:01:10,"California alone reported 5,019 new cases, its biggest daily jump, while hitting a record of 3,700 hospitalisations.",230,146,6,1,36,40,,,10157151578667115,/story.php?story_fbid=10157151578667115&id=129011692114
The Straits Times,,2020-06-24 12:38:32,PAP unveiled a 2nd batch of candidates comprising 2 former civil servants and 2 others from the private sector.,193,139,22,10,3,,19,,10157151545407115,/story.php?story_fbid=10157151545407115&id=129011692114
The Straits Times,,2020-06-24 12:30:01,"There are now 269 active dengue clusters in Singapore, with 12,542 people infected so far this year. https://str.sg/JWHz",753,393,4,,171,172,5,,10157151475407115,/story.php?story_fbid=10157151475407115&id=129011692114
The Straits Times,,2020-06-24 12:12:23,Time to mark your calendar!,399,369,9,4,2,14,,,10157151492947115,/story.php?story_fbid=10157151492947115&id=129011692114
The Straits Times,,2020-06-24 12:00:12,SPONSORED: Looking for support amid the Covid-19 pandemic? Find out how these digital services can help you and your business. https://str.sg/JWSj,44,40,,,,,,,10157151474652115,/story.php?story_fbid=10157151474652115&id=129011692114
The Straits Times,,2020-06-24 11:46:13,"Do you live in Bedok, but vote in...Marine Parade? Since 1968, every area of Singapore has seen at least one change in electoral boundaries due to shifting and growing populations.",60,43,15,,2,,,,10157151455667115,/story.php?story_fbid=10157151455667115&id=129011692114
The Straits Times,,2020-06-24 11:01:17,"The 4 are Mr Edward Chia, Mr Desmond Tan, Mr Ivan Lim and Ms Nadia Samdin.",343,261,47,16,4,,13,,10157151378267115,/story.php?story_fbid=10157151378267115&id=129011692114
The Straits Times,,2020-06-24 09:59:47,"A number of factors could play a role in the outcome of GE2020, including how much voters value the competing calls for support from all sides.",87,78,5,1,2,,,,10157151224252115,/story.php?story_fbid=10157151224252115&id=129011692114
The Straits Times,,2020-06-24 09:45:58,"There were 1,377 infections in the past week, surpassing the 1,154 cases recorded in the week before. These are the first 2 times weekly cases crossed the 1,000-mark in Singapore.",547,322,5,2,92,118,2,,10157151198997115,/story.php?story_fbid=10157151198997115&id=129011692114
The Straits Times,,2020-06-24 09:29:01,"""We couldn't walk... the street was like chewing gum,"" said one resident of Juchitan, in Oaxaca state.",111,64,,,11,34,,,10157151168402115,/story.php?story_fbid=10157151168402115&id=129011692114
The Straits Times,,2020-06-24 09:16:12,"In the tweet, the US President threatened to meet any ""Autonomous Zone"" in Washington, DC, with serious force.",57,39,12,3,2,,1,,10157151137062115,/story.php?story_fbid=10157151137062115&id=129011692114
