source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-28 15:35:34,"Dr Tan pointed to his list of achievements when he was the PAP MP for Ayer Rajah, which is now part of West Coast GRC.",78,62,8,7,,,2,,10157166269767115,/story.php?story_fbid=10157166269767115&id=129011692114
The Straits Times,,2020-06-28 15:16:32,🔴 JUST IN: 11 of the 213 new Covid-19 cases are in the community.,678,470,4,4,67,123,5,,10157166242932115,/story.php?story_fbid=10157166242932115&id=129011692114
The Straits Times,,2020-06-28 14:44:18,"Mr Shawn Huang addressed claims that he ""(threw) food back"" at officers during rehearsals for the NDP in 2018. He was the parade commander that year. Follow full #GE2020 coverage here: https://str.sg/JW74",255,167,64,,19,2,4,,10157166205142115,/story.php?story_fbid=10157166205142115&id=129011692114
The Straits Times,,2020-06-28 14:35:49,Mr Low’s meeting with Hougang residents was his first public appearance since he suffered a bad fall in April. Follow full #GE2020 coverage here: https://str.sg/JW74,431,368,3,35,,,,,10157166195347115,/story.php?story_fbid=10157166195347115&id=129011692114
The Straits Times,,2020-06-28 14:16:45,"Mr Lee also emphasised the importance of ""vaccine multilateralism"", adding that Singapore is looking forward to working with organisations such as the  European Commission and the WHO to develop vaccines and distribute them fairly.",777,686,6,48,2,,3,,10157166168022115,/story.php?story_fbid=10157166168022115&id=129011692114
The Straits Times,,2020-06-28 13:59:07,"Mr Ng Chee Meng said at the walkabout that Sengkang has a younger demographic, and that his team is paying attention to young families. Follow full #GE2020 coverage here: https://str.sg/JW74",305,232,38,19,6,2,5,,10157166121797115,/story.php?story_fbid=10157166121797115&id=129011692114
The Straits Times,,2020-06-28 13:36:14,ICA has also reminded citizens that they can use their passports in lieu of their ICs at the polling stations.,138,138,,,,,,,10157166075492115,/story.php?story_fbid=10157166075492115&id=129011692114
The Straits Times,,2020-06-28 13:22:12,"""It is a very difficult and painful decision for him, but it is a responsible thing that he did,” said Mr Wong. DPM Heng called the episode involving Mr Lim ""regrettable"". Follow full #GE2020 coverage here: https://str.sg/JW74",549,291,231,11,4,3,7,,10157166051487115,/story.php?story_fbid=10157166051487115&id=129011692114
The Straits Times,,2020-06-28 12:45:39,"Observers point to the ""unpredictability factor"" that comes with the new GRC which includes the Workers’ Party’s stomping grounds. This means little is known about how the GRC votes.",149,137,10,,1,,,,10157166003042115,/story.php?story_fbid=10157166003042115&id=129011692114
The Straits Times,,2020-06-28 12:31:00,"The Workers' Party is mounting a fresh challenge, having tried 3 times to win over East Coast residents to its cause in the past 14 years. Follow full #GE2020 coverage here: https://str.sg/JW74",158,146,9,,2,,1,,10157165987757115,/story.php?story_fbid=10157165987757115&id=129011692114
The Straits Times,,2020-06-28 12:15:28,"The WP has decided to field its A team in Aljunied, given the razor-thin 50.95% share of the vote that it won by in the last election. Follow full #GE2020 coverage here: https://str.sg/JW74",475,426,12,27,5,,,,10157165969542115,/story.php?story_fbid=10157165969542115&id=129011692114
The Straits Times,,2020-06-28 11:54:05,"From batik to cartoon prints, fabric masks have been flooding the market. Here’s how fabric masks from 5 local brands rank in terms of comfort, breathability, durability and style.",109,105,3,1,,,,,10157165937292115,/story.php?story_fbid=10157165937292115&id=129011692114
