source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-28 15:16:32,🔴 JUST IN: 11 of the 213 new Covid-19 cases are in the community.,678,470,4,4,67,123,5,,10157166242932115,/story.php?story_fbid=10157166242932115&id=129011692114
The Straits Times,,2020-06-28 07:30:18,"Some shoppers said it was their first time out of their homes since the circuit breaker, as they wanted to avoid the crowds the previous weekend.",290,237,24,2,20,2,2,,10157165436372115,/story.php?story_fbid=10157165436372115&id=129011692114
The Straits Times,,2020-06-27 17:50:30,"Family members carrying off the bodies of loved ones - suspected to have died from the coronavirus - is one of the reasons why infections continue to rise in East Java, said the head of the country's Covid-19 task force.",163,107,10,2,8,32,3,,10157163848002115,/story.php?story_fbid=10157163848002115&id=129011692114
The Straits Times,,2020-06-27 16:33:14,This will facilitate cross-border travel for essential business and official purposes between both countries. Travellers will have to adhere to Covid-19 measures that are still being discussed.,627,577,14,7,21,2,3,,10157163765702115,/story.php?story_fbid=10157163765702115&id=129011692114
The Straits Times,,2020-06-27 15:41:17,"Victoria recorded 41 new Covid-19 cases, which is double the daily rate seen by the Australian state a week ago.",194,137,2,2,22,30,,,10157163695567115,/story.php?story_fbid=10157163695567115&id=129011692114
The Straits Times,,2020-06-27 15:16:59,"🔴 JUST IN: There are 11 Covid-19 cases in the community, including 5 Singaporeans or permanent residents and 6 work pass holders.",1.8K,1.2K,20,10,173,359,19,,10157163664997115,/story.php?story_fbid=10157163664997115&id=129011692114
The Straits Times,,2020-06-27 13:14:49,"India has 4th biggest Covid-19 outbreak in the world, behind only the US, Brazil and Russia.",440,279,3,,51,105,,,10157162541777115,/story.php?story_fbid=10157162541777115&id=129011692114
The Straits Times,,2020-06-27 12:41:06,The Reform Party's campaign slogan and party manifesto for #GE2020 will focus on rebuilding Singapore following the economic impact of Covid-19. Follow full #GE2020 coverage here: https://str.sg/JW74,182,159,21,,1,,,,10157161841267115,/story.php?story_fbid=10157161841267115&id=129011692114
The Straits Times,,2020-06-27 08:30:49,Traces of the coronavirus in a sample of Barcelona waste water were found 9 months before Covid-19 was identified in China.,1.1K,701,81,4,356,12,4,,10157159152642115,/story.php?story_fbid=10157159152642115&id=129011692114
The Straits Times,,2020-06-27 07:30:56,Researchers here are less hopeful than a top US expert who forecasted that a Covid-19 vaccine will be ready by the end of this year.,269,206,11,1,14,36,,,10157159029152115,/story.php?story_fbid=10157159029152115&id=129011692114
The Straits Times,,2020-06-26 23:25:38,"One new Covid-19 community case met a large group of people for sports and social activities, MOH to investigate.",1.3K,756,32,3,221,116,259,,10157158083117115,/story.php?story_fbid=10157158083117115&id=129011692114
"The Straits Times,Kayla Low 罗舒玉,Hin Leong Ong,SG Opposition,The Online Citizen Asia",,2020-06-26 18:18:29,"""How Asean countries respond to this (Covid-19) crisis will decide whether Asean will forge ahead of the competition or fall behind,"" said PM Lee during the virtual summit.I have always admired how Prof. Koh has represented Singapore and speaks his mind with heart and intellect.  This video is an excerpt speech by Professor Tommy...https://www.facebook.com/theonlinecitizen/videos/10152560065256383/?vh=eVideo of the 76 year old lady who begged MP Hri Kumar in the CPF forum this morning to help her get her CPF money back to settle her afterlife arrangements as...",318,282,12,17,4,,,,10157157500857115,/story.php?story_fbid=10157157500857115&id=129011692114
,,2020-06-26 17:04:06,"THE BIG STORY: Transport Minister Khaw Boon Wan retires | PAP, opposition parties unveil more candidates | Liverpool crowned Premier League champions after 30 years #thebigstory #stbigstory #generalelection #ge2020 #coronavirus #covid19 #liverpool",190,139,4,37,3,,1,,2607268296214594,/story.php?story_fbid=2607268296214594&id=129011692114
The Straits Times,,2020-06-26 15:16:40,"🔴 JUST IN: Singapore confirms 219 new Covid-19 cases. There are 6 cases in the community, including 5 Singaporeans or PRs.",1.9K,1.4K,12,6,134,333,12,,10157157203897115,/story.php?story_fbid=10157157203897115&id=129011692114
The Straits Times,,2020-06-26 12:36:12,"It is not just the Covid-19 crisis that must be managed, but also what comes after, which could be a different type of crisis, says associate editor Vikram Khanna.",159,138,10,,2,5,1,,10157157028557115,/story.php?story_fbid=10157157028557115&id=129011692114
The Straits Times,,2020-06-26 09:40:54,"Germany reported a spike of more than 1,500 coronavirus infections, with new clusters confirmed in areas such as slaughterhouses and crowded, low-income apartment blocks.",163,110,1,,24,27,1,,10157156720942115,/story.php?story_fbid=10157156720942115&id=129011692114
The Straits Times,,2020-06-26 09:20:21,"Patients suffering from severe cases of Covid-19 could experience complications such as stroke, inflammation, psychosis and dementia-like symptoms.",408,237,1,1,59,108,,,10157156685762115,/story.php?story_fbid=10157156685762115&id=129011692114
The Straits Times,,2020-06-26 08:21:45,"Singapore is still not out of the woods yet for Covid-19, said ministers Lawrence Wong and Gan Kim Yong.",570,475,37,2,12,34,5,,10157156568032115,/story.php?story_fbid=10157156568032115&id=129011692114
